Activity,Health Goal,Duration (minutes),Calories Burned,Satisfaction Score,Frequency Per Week,Equipment Required,Intensity Level,Age Group,Cost (USD),Benefits,User Feedback,Workout Type
HIIT,Mental Clarity,49,595,5,1,Swimming Costume,Medium,Teens,29,Improves cardiovascular health,I did not enjoy HIIT.,Aerobic
Weight Lifting,Flexibility,25,420,3,3,Climbing Gear,Low,Teens,48,Promotes mental clarity,I did not enjoy Weight Lifting.,Mixed
Running,Cardiovascular Fitness,36,354,7,3,Yoga Mat,Low,Adults,32,Enhances endurance,Running was very satisfying!,Strength
Kickboxing,Flexibility,86,546,2,2,Swimming Costume,High,Seniors,43,Improves cardiovascular health,I did not enjoy Kickboxing.,Mixed
Cycling,Flexibility,105,232,10,7,None,Medium,Teens,41,Enhances endurance,Cycling was very satisfying!,Strength
Meditation,Cardiovascular Fitness,50,484,2,7,None,High,Adults,7,Improves cardiovascular health,I did not enjoy Meditation.,Strength
Zumba,Overall Fitness,87,158,3,7,Boxing Gloves,High,Teens,25,Boosts flexibility,I did not enjoy Zumba.,Flexibility
Walking,Cardiovascular Fitness,22,534,3,6,None,Medium,Seniors,43,Boosts flexibility,I did not enjoy Walking.,Mixed
Dance,Weight Loss,118,328,3,3,Yoga Mat,Medium,Seniors,38,Promotes mental clarity,I did not enjoy Dance.,Balance
HIIT,Cardiovascular Fitness,28,330,8,4,Yoga Mat,High,Teens,4,Improves mood,HIIT was very satisfying!,Balance
Yoga,Mental Clarity,108,155,10,7,Bicycle,High,Adults,20,Promotes mental clarity,Yoga was very satisfying!,Strength
Running,Flexibility,101,151,9,6,None,Medium,Teens,20,Increases balance,Running was very satisfying!,Balance
Walking,Flexibility,84,292,8,3,None,High,Teens,24,Boosts flexibility,Walking was very satisfying!,Aerobic
Walking,Weight Loss,95,201,1,6,None,Medium,Seniors,26,Boosts flexibility,I did not enjoy Walking.,Strength
Swimming,Cardiovascular Fitness,81,396,6,6,"Mat, Reformer",Medium,Adults,40,Enhances endurance,Swimming was very satisfying!,Mixed
Dance,Overall Fitness,30,475,1,1,Weights,Low,Adults,24,Aids in weight loss,I did not enjoy Dance.,Flexibility
Cycling,Cardiovascular Fitness,102,191,3,3,Climbing Gear,High,Adults,8,Enhances endurance,I did not enjoy Cycling.,Strength
Meditation,Cardiovascular Fitness,68,479,4,7,None,High,Adults,35,Aids in weight loss,I did not enjoy Meditation.,Strength
Swimming,Overall Fitness,118,544,8,3,Bicycle,Low,Teens,33,Enhances endurance,Swimming was very satisfying!,Balance
Pilates,Cardiovascular Fitness,89,292,7,1,Yoga Mat,Medium,Teens,13,Improves mood,Pilates was very satisfying!,Mixed
Yoga,Mental Clarity,118,306,8,1,None,Medium,Seniors,36,Boosts flexibility,Yoga was very satisfying!,Flexibility
Pilates,Overall Fitness,56,245,8,5,None,High,Teens,29,Improves cardiovascular health,Pilates was very satisfying!,Flexibility
Walking,Mental Clarity,35,465,3,7,None,High,Adults,1,Enhances endurance,I did not enjoy Walking.,Aerobic
Zumba,Flexibility,53,554,9,4,Climbing Gear,Medium,Adults,5,Enhances endurance,Zumba was very satisfying!,Balance
Cycling,Flexibility,74,498,5,3,Bicycle,Low,Teens,38,Aids in weight loss,I did not enjoy Cycling.,Balance
Zumba,Mental Clarity,26,548,10,3,"Mat, Reformer",High,Teens,32,Promotes mental clarity,Zumba was very satisfying!,Aerobic
HIIT,Cardiovascular Fitness,81,360,10,6,Climbing Gear,High,Seniors,8,Boosts flexibility,HIIT was very satisfying!,Strength
Pilates,Muscle Gain,79,182,2,7,Bicycle,High,Seniors,47,Promotes mental clarity,I did not enjoy Pilates.,Aerobic
Yoga,Flexibility,72,478,9,6,Swimming Costume,Low,Teens,27,Improves cardiovascular health,Yoga was very satisfying!,Mixed
Yoga,Overall Fitness,78,496,9,2,"Mat, Reformer",Medium,Teens,25,Increases balance,Yoga was very satisfying!,Aerobic
Swimming,Cardiovascular Fitness,93,166,3,3,Climbing Gear,High,Adults,15,Improves mood,I did not enjoy Swimming.,Mixed
Yoga,Muscle Gain,106,305,7,6,Climbing Gear,Low,Teens,50,Increases balance,Yoga was very satisfying!,Balance
Pilates,Mental Clarity,51,551,1,7,Yoga Mat,Medium,Seniors,48,Promotes mental clarity,I did not enjoy Pilates.,Mixed
Meditation,Overall Fitness,107,496,6,7,None,Low,Seniors,13,Improves mood,Meditation was very satisfying!,Aerobic
Pilates,Weight Loss,117,450,7,2,None,Low,Adults,4,Improves cardiovascular health,Pilates was very satisfying!,Mixed
Cycling,Mental Clarity,49,150,5,2,Bicycle,Low,Adults,7,Enhances endurance,I did not enjoy Cycling.,Mixed
Cycling,Flexibility,107,552,10,7,Climbing Gear,High,Teens,40,Aids in weight loss,Cycling was very satisfying!,Aerobic
Weight Lifting,Cardiovascular Fitness,89,329,2,7,Swimming Costume,Medium,Adults,22,Aids in weight loss,I did not enjoy Weight Lifting.,Balance
Yoga,Muscle Gain,92,430,3,4,Bicycle,High,Teens,22,Aids in weight loss,I did not enjoy Yoga.,Mixed
Dance,Muscle Gain,66,491,1,2,Climbing Gear,High,Teens,38,Promotes mental clarity,I did not enjoy Dance.,Aerobic
Kickboxing,Overall Fitness,87,482,6,7,Boxing Gloves,Low,Seniors,40,Increases balance,Kickboxing was very satisfying!,Balance
Kickboxing,Cardiovascular Fitness,93,288,9,1,Yoga Mat,Medium,Seniors,37,Increases balance,Kickboxing was very satisfying!,Strength
Meditation,Flexibility,98,447,3,5,None,Low,Adults,27,Enhances muscle strength,I did not enjoy Meditation.,Mixed
Cycling,Weight Loss,120,461,6,5,Boxing Gloves,Low,Adults,10,Aids in weight loss,Cycling was very satisfying!,Mixed
Yoga,Cardiovascular Fitness,65,184,4,4,Boxing Gloves,Low,Seniors,41,Enhances endurance,I did not enjoy Yoga.,Flexibility
Zumba,Weight Loss,82,296,7,1,"Mat, Reformer",Low,Adults,5,Improves mood,Zumba was very satisfying!,Strength
HIIT,Mental Clarity,70,208,7,2,"Mat, Reformer",Medium,Seniors,46,Enhances muscle strength,HIIT was very satisfying!,Strength
HIIT,Flexibility,54,499,1,2,None,Medium,Adults,50,Promotes mental clarity,I did not enjoy HIIT.,Mixed
Swimming,Weight Loss,100,229,7,3,None,Low,Adults,6,Enhances muscle strength,Swimming was very satisfying!,Balance
Walking,Weight Loss,91,231,9,7,None,Low,Teens,47,Improves cardiovascular health,Walking was very satisfying!,Strength
Walking,Overall Fitness,119,174,3,4,None,High,Seniors,50,Improves mood,I did not enjoy Walking.,Mixed
Meditation,Muscle Gain,109,201,1,7,None,High,Teens,16,Boosts flexibility,I did not enjoy Meditation.,Flexibility
Rock Climbing,Flexibility,27,154,8,5,"Mat, Reformer",High,Adults,34,Enhances endurance,Rock Climbing was very satisfying!,Strength
Weight Lifting,Weight Loss,32,302,3,1,None,Medium,Adults,39,Enhances muscle strength,I did not enjoy Weight Lifting.,Mixed
Weight Lifting,Mental Clarity,33,182,2,2,"Mat, Reformer",Medium,Teens,35,Aids in weight loss,I did not enjoy Weight Lifting.,Mixed
Zumba,Flexibility,28,305,9,1,Bicycle,High,Seniors,34,Enhances endurance,Zumba was very satisfying!,Mixed
Weight Lifting,Weight Loss,30,370,3,2,Swimming Costume,High,Teens,20,Boosts flexibility,I did not enjoy Weight Lifting.,Strength
Pilates,Weight Loss,68,460,9,4,Yoga Mat,High,Teens,1,Improves cardiovascular health,Pilates was very satisfying!,Balance
Rock Climbing,Cardiovascular Fitness,76,600,10,7,Swimming Costume,Medium,Adults,33,Increases balance,Rock Climbing was very satisfying!,Aerobic
Dance,Cardiovascular Fitness,33,156,3,6,"Mat, Reformer",High,Adults,23,Boosts flexibility,I did not enjoy Dance.,Mixed
Rock Climbing,Cardiovascular Fitness,96,442,10,1,"Mat, Reformer",Low,Adults,7,Improves mood,Rock Climbing was very satisfying!,Aerobic
Dance,Cardiovascular Fitness,104,549,10,6,None,High,Teens,21,Boosts flexibility,Dance was very satisfying!,Aerobic
Swimming,Weight Loss,106,410,6,6,Bicycle,Medium,Teens,44,Improves cardiovascular health,Swimming was very satisfying!,Mixed
HIIT,Muscle Gain,119,554,4,7,Swimming Costume,High,Teens,23,Improves cardiovascular health,I did not enjoy HIIT.,Flexibility
Pilates,Mental Clarity,71,278,9,1,Weights,Medium,Adults,9,Improves mood,Pilates was very satisfying!,Strength
HIIT,Weight Loss,95,365,4,1,Weights,Medium,Teens,44,Increases balance,I did not enjoy HIIT.,Aerobic
Meditation,Muscle Gain,68,565,5,3,None,Medium,Seniors,40,Enhances endurance,I did not enjoy Meditation.,Strength
Dance,Overall Fitness,22,254,10,7,Boxing Gloves,Medium,Adults,11,Promotes mental clarity,Dance was very satisfying!,Strength
Pilates,Weight Loss,105,178,7,3,Swimming Costume,Medium,Adults,10,Boosts flexibility,Pilates was very satisfying!,Balance
Running,Overall Fitness,83,223,6,2,Boxing Gloves,High,Adults,36,Improves cardiovascular health,Running was very satisfying!,Aerobic
Dance,Cardiovascular Fitness,75,588,2,1,Yoga Mat,Low,Teens,5,Improves mood,I did not enjoy Dance.,Strength
Weight Lifting,Cardiovascular Fitness,94,588,5,3,"Mat, Reformer",Medium,Seniors,49,Improves cardiovascular health,I did not enjoy Weight Lifting.,Aerobic
Yoga,Muscle Gain,35,421,4,3,Yoga Mat,Medium,Adults,36,Enhances muscle strength,I did not enjoy Yoga.,Mixed
HIIT,Overall Fitness,118,467,8,1,Bicycle,Medium,Seniors,22,Boosts flexibility,HIIT was very satisfying!,Aerobic
Dance,Muscle Gain,21,252,8,3,Weights,Medium,Teens,4,Promotes mental clarity,Dance was very satisfying!,Balance
Pilates,Muscle Gain,30,264,9,2,Weights,Low,Adults,24,Enhances endurance,Pilates was very satisfying!,Flexibility
Weight Lifting,Overall Fitness,90,410,5,3,Bicycle,Low,Teens,9,Aids in weight loss,I did not enjoy Weight Lifting.,Balance
Kickboxing,Flexibility,100,416,6,5,Climbing Gear,Low,Seniors,32,Increases balance,Kickboxing was very satisfying!,Balance
Zumba,Overall Fitness,100,247,1,3,"Mat, Reformer",Medium,Seniors,47,Improves cardiovascular health,I did not enjoy Zumba.,Strength
Meditation,Mental Clarity,118,508,9,2,None,Low,Seniors,27,Aids in weight loss,Meditation was very satisfying!,Balance
Rock Climbing,Cardiovascular Fitness,79,244,6,2,Swimming Costume,Low,Seniors,42,Boosts flexibility,Rock Climbing was very satisfying!,Strength
Kickboxing,Flexibility,74,284,7,7,Bicycle,Low,Seniors,34,Improves mood,Kickboxing was very satisfying!,Mixed
HIIT,Flexibility,79,225,6,5,Climbing Gear,High,Seniors,47,Enhances endurance,HIIT was very satisfying!,Strength
Yoga,Cardiovascular Fitness,48,409,3,1,Climbing Gear,Medium,Teens,21,Improves mood,I did not enjoy Yoga.,Flexibility
Swimming,Overall Fitness,66,563,7,6,Weights,Low,Adults,40,Increases balance,Swimming was very satisfying!,Strength
Yoga,Mental Clarity,34,366,2,4,Weights,Low,Teens,28,Improves cardiovascular health,I did not enjoy Yoga.,Mixed
Yoga,Cardiovascular Fitness,22,215,5,6,Swimming Costume,Low,Adults,48,Increases balance,I did not enjoy Yoga.,Aerobic
Cycling,Weight Loss,65,261,1,7,None,High,Seniors,27,Boosts flexibility,I did not enjoy Cycling.,Flexibility
Yoga,Muscle Gain,78,483,2,3,Climbing Gear,Medium,Teens,19,Improves mood,I did not enjoy Yoga.,Flexibility
Zumba,Overall Fitness,65,343,8,5,Yoga Mat,Medium,Adults,26,Enhances endurance,Zumba was very satisfying!,Strength
Rock Climbing,Cardiovascular Fitness,46,305,9,2,Boxing Gloves,Low,Adults,49,Aids in weight loss,Rock Climbing was very satisfying!,Aerobic
Swimming,Weight Loss,91,214,7,5,Bicycle,Medium,Teens,41,Increases balance,Swimming was very satisfying!,Mixed
Meditation,Mental Clarity,34,552,9,6,None,High,Teens,5,Aids in weight loss,Meditation was very satisfying!,Mixed
Running,Muscle Gain,47,394,7,7,Bicycle,High,Adults,25,Enhances muscle strength,Running was very satisfying!,Balance
Swimming,Overall Fitness,22,223,2,6,Bicycle,Low,Adults,30,Enhances endurance,I did not enjoy Swimming.,Mixed
Kickboxing,Mental Clarity,44,498,10,6,Swimming Costume,High,Adults,30,Boosts flexibility,Kickboxing was very satisfying!,Aerobic
Yoga,Flexibility,68,468,1,2,Swimming Costume,Low,Teens,10,Boosts flexibility,I did not enjoy Yoga.,Strength
Swimming,Muscle Gain,56,551,1,5,Yoga Mat,Medium,Seniors,19,Increases balance,I did not enjoy Swimming.,Flexibility
Cycling,Mental Clarity,113,239,6,6,Swimming Costume,Medium,Seniors,6,Aids in weight loss,Cycling was very satisfying!,Mixed
Walking,Cardiovascular Fitness,84,252,1,4,None,Low,Teens,31,Improves cardiovascular health,I did not enjoy Walking.,Aerobic
Pilates,Weight Loss,54,529,10,4,Boxing Gloves,High,Seniors,47,Improves cardiovascular health,Pilates was very satisfying!,Aerobic
Weight Lifting,Weight Loss,84,501,5,1,Swimming Costume,High,Seniors,35,Enhances muscle strength,I did not enjoy Weight Lifting.,Strength
Weight Lifting,Mental Clarity,58,273,2,4,Swimming Costume,High,Teens,37,Boosts flexibility,I did not enjoy Weight Lifting.,Flexibility
HIIT,Overall Fitness,21,552,10,3,Yoga Mat,Low,Seniors,4,Promotes mental clarity,HIIT was very satisfying!,Aerobic
Dance,Mental Clarity,46,355,5,7,Weights,Low,Teens,24,Improves mood,I did not enjoy Dance.,Strength
Swimming,Weight Loss,59,287,9,7,Yoga Mat,High,Seniors,43,Improves cardiovascular health,Swimming was very satisfying!,Mixed
HIIT,Muscle Gain,61,585,7,3,Bicycle,High,Adults,38,Improves mood,HIIT was very satisfying!,Strength
Kickboxing,Weight Loss,51,457,10,6,Bicycle,Low,Teens,12,Boosts flexibility,Kickboxing was very satisfying!,Strength
Zumba,Mental Clarity,72,285,6,2,"Mat, Reformer",Medium,Adults,2,Improves cardiovascular health,Zumba was very satisfying!,Strength
Yoga,Mental Clarity,41,336,4,3,Swimming Costume,Low,Adults,18,Increases balance,I did not enjoy Yoga.,Mixed
Weight Lifting,Weight Loss,46,360,8,3,Swimming Costume,Low,Seniors,48,Enhances muscle strength,Weight Lifting was very satisfying!,Balance
Dance,Muscle Gain,43,561,3,3,None,Low,Teens,5,Boosts flexibility,I did not enjoy Dance.,Mixed
Cycling,Mental Clarity,23,296,8,2,Boxing Gloves,Low,Seniors,46,Enhances endurance,Cycling was very satisfying!,Mixed
Zumba,Cardiovascular Fitness,49,457,10,3,None,Low,Teens,34,Improves mood,Zumba was very satisfying!,Aerobic
Walking,Flexibility,35,191,7,3,None,High,Adults,26,Aids in weight loss,Walking was very satisfying!,Flexibility
Pilates,Cardiovascular Fitness,33,402,2,6,None,Low,Teens,22,Increases balance,I did not enjoy Pilates.,Mixed
Kickboxing,Cardiovascular Fitness,36,432,5,3,Yoga Mat,Low,Adults,27,Improves cardiovascular health,I did not enjoy Kickboxing.,Aerobic
HIIT,Flexibility,56,171,6,7,Bicycle,Low,Teens,21,Increases balance,HIIT was very satisfying!,Balance
Walking,Mental Clarity,51,313,4,4,None,Low,Teens,12,Improves cardiovascular health,I did not enjoy Walking.,Mixed
Meditation,Flexibility,39,168,4,4,None,Low,Teens,12,Enhances muscle strength,I did not enjoy Meditation.,Balance
Running,Muscle Gain,94,364,5,5,Weights,Low,Seniors,43,Improves mood,I did not enjoy Running.,Balance
Yoga,Muscle Gain,75,312,4,2,Bicycle,High,Adults,20,Improves mood,I did not enjoy Yoga.,Balance
Meditation,Overall Fitness,51,526,9,5,None,Low,Seniors,12,Improves cardiovascular health,Meditation was very satisfying!,Flexibility
Meditation,Flexibility,81,312,10,3,None,Medium,Teens,19,Enhances muscle strength,Meditation was very satisfying!,Aerobic
Zumba,Mental Clarity,26,504,3,7,None,High,Adults,34,Enhances endurance,I did not enjoy Zumba.,Flexibility
HIIT,Cardiovascular Fitness,33,491,5,7,None,Low,Seniors,0,Aids in weight loss,I did not enjoy HIIT.,Aerobic
Pilates,Mental Clarity,57,210,1,5,Boxing Gloves,Medium,Teens,16,Aids in weight loss,I did not enjoy Pilates.,Mixed
Dance,Muscle Gain,114,586,1,6,"Mat, Reformer",Medium,Teens,2,Increases balance,I did not enjoy Dance.,Mixed
Meditation,Cardiovascular Fitness,27,598,5,6,None,Low,Adults,49,Boosts flexibility,I did not enjoy Meditation.,Mixed
Swimming,Muscle Gain,98,505,4,3,Yoga Mat,High,Teens,47,Aids in weight loss,I did not enjoy Swimming.,Balance
Kickboxing,Weight Loss,67,295,6,6,Boxing Gloves,Low,Seniors,49,Enhances muscle strength,Kickboxing was very satisfying!,Balance
Cycling,Muscle Gain,53,260,3,1,Weights,High,Seniors,0,Promotes mental clarity,I did not enjoy Cycling.,Mixed
Running,Cardiovascular Fitness,64,573,8,1,Bicycle,Medium,Teens,49,Increases balance,Running was very satisfying!,Balance
Cycling,Flexibility,57,255,5,3,Swimming Costume,High,Teens,2,Promotes mental clarity,I did not enjoy Cycling.,Balance
Swimming,Overall Fitness,92,546,3,5,Weights,High,Adults,5,Enhances muscle strength,I did not enjoy Swimming.,Strength
Running,Overall Fitness,89,289,1,2,Swimming Costume,Medium,Seniors,22,Increases balance,I did not enjoy Running.,Flexibility
Yoga,Overall Fitness,117,238,3,6,None,Medium,Seniors,22,Increases balance,I did not enjoy Yoga.,Strength
Meditation,Cardiovascular Fitness,29,367,9,5,None,High,Seniors,40,Improves mood,Meditation was very satisfying!,Balance
Dance,Muscle Gain,102,302,1,6,Climbing Gear,Low,Seniors,16,Aids in weight loss,I did not enjoy Dance.,Strength
HIIT,Cardiovascular Fitness,79,541,8,4,"Mat, Reformer",Low,Seniors,9,Improves mood,HIIT was very satisfying!,Mixed
Weight Lifting,Muscle Gain,59,179,10,2,Weights,High,Teens,50,Improves mood,Weight Lifting was very satisfying!,Mixed
Zumba,Mental Clarity,67,345,2,1,Weights,Medium,Teens,7,Enhances endurance,I did not enjoy Zumba.,Balance
Zumba,Mental Clarity,42,346,5,6,"Mat, Reformer",Low,Seniors,14,Enhances endurance,I did not enjoy Zumba.,Balance
HIIT,Weight Loss,54,207,6,7,Bicycle,Medium,Seniors,3,Improves cardiovascular health,HIIT was very satisfying!,Aerobic
Zumba,Cardiovascular Fitness,115,404,2,2,Bicycle,Low,Adults,34,Increases balance,I did not enjoy Zumba.,Aerobic
Cycling,Overall Fitness,119,580,3,5,Swimming Costume,Low,Adults,47,Aids in weight loss,I did not enjoy Cycling.,Mixed
HIIT,Overall Fitness,61,309,7,2,Swimming Costume,High,Teens,12,Promotes mental clarity,HIIT was very satisfying!,Balance
Yoga,Flexibility,60,473,5,6,Weights,Medium,Teens,18,Promotes mental clarity,I did not enjoy Yoga.,Strength
Running,Overall Fitness,107,506,3,5,"Mat, Reformer",High,Seniors,8,Enhances muscle strength,I did not enjoy Running.,Balance
Swimming,Mental Clarity,56,232,3,7,Boxing Gloves,Medium,Adults,18,Improves cardiovascular health,I did not enjoy Swimming.,Mixed
Weight Lifting,Mental Clarity,42,580,7,6,Boxing Gloves,High,Teens,46,Enhances endurance,Weight Lifting was very satisfying!,Flexibility
Zumba,Weight Loss,58,212,9,4,Yoga Mat,High,Adults,27,Enhances muscle strength,Zumba was very satisfying!,Flexibility
Kickboxing,Flexibility,70,323,3,2,Boxing Gloves,High,Seniors,20,Boosts flexibility,I did not enjoy Kickboxing.,Strength
Zumba,Overall Fitness,28,542,9,2,Weights,High,Seniors,9,Promotes mental clarity,Zumba was very satisfying!,Balance
Dance,Mental Clarity,45,339,7,3,"Mat, Reformer",Medium,Seniors,47,Improves mood,Dance was very satisfying!,Strength
Yoga,Flexibility,94,515,3,3,Boxing Gloves,Low,Adults,39,Aids in weight loss,I did not enjoy Yoga.,Strength
Swimming,Weight Loss,76,501,10,4,Bicycle,High,Adults,21,Enhances muscle strength,Swimming was very satisfying!,Balance
Yoga,Weight Loss,120,186,9,7,Bicycle,Low,Teens,1,Enhances endurance,Yoga was very satisfying!,Mixed
Yoga,Cardiovascular Fitness,49,544,9,3,Climbing Gear,Medium,Teens,19,Promotes mental clarity,Yoga was very satisfying!,Flexibility
Meditation,Cardiovascular Fitness,28,389,4,7,None,Medium,Teens,13,Improves cardiovascular health,I did not enjoy Meditation.,Mixed
Kickboxing,Overall Fitness,20,468,5,5,None,Low,Teens,4,Boosts flexibility,I did not enjoy Kickboxing.,Aerobic
Running,Weight Loss,21,538,4,1,Boxing Gloves,Low,Teens,10,Boosts flexibility,I did not enjoy Running.,Mixed
Kickboxing,Overall Fitness,20,268,4,7,Weights,High,Seniors,13,Boosts flexibility,I did not enjoy Kickboxing.,Strength
Pilates,Muscle Gain,84,411,7,4,Bicycle,High,Adults,50,Enhances muscle strength,Pilates was very satisfying!,Mixed
HIIT,Cardiovascular Fitness,72,339,9,1,Yoga Mat,Medium,Teens,41,Aids in weight loss,HIIT was very satisfying!,Aerobic
Meditation,Overall Fitness,81,166,4,6,None,Medium,Seniors,35,Increases balance,I did not enjoy Meditation.,Aerobic
Zumba,Cardiovascular Fitness,105,394,6,1,Weights,High,Seniors,20,Enhances muscle strength,Zumba was very satisfying!,Flexibility
Zumba,Weight Loss,40,470,9,4,"Mat, Reformer",Low,Adults,12,Increases balance,Zumba was very satisfying!,Mixed
Kickboxing,Muscle Gain,100,544,10,2,None,Low,Adults,47,Enhances endurance,Kickboxing was very satisfying!,Flexibility
Zumba,Flexibility,119,249,7,4,Yoga Mat,Medium,Adults,2,Boosts flexibility,Zumba was very satisfying!,Aerobic
Rock Climbing,Mental Clarity,47,485,2,6,Climbing Gear,Medium,Adults,9,Enhances endurance,I did not enjoy Rock Climbing.,Aerobic
HIIT,Overall Fitness,55,471,9,2,Swimming Costume,High,Seniors,49,Boosts flexibility,HIIT was very satisfying!,Flexibility
Zumba,Mental Clarity,79,578,9,7,None,Medium,Teens,5,Aids in weight loss,Zumba was very satisfying!,Flexibility
Walking,Weight Loss,61,414,7,3,None,Medium,Seniors,8,Aids in weight loss,Walking was very satisfying!,Balance
Kickboxing,Overall Fitness,36,500,4,3,Swimming Costume,High,Seniors,25,Improves cardiovascular health,I did not enjoy Kickboxing.,Flexibility
Meditation,Mental Clarity,69,224,10,6,None,Medium,Seniors,0,Aids in weight loss,Meditation was very satisfying!,Aerobic
Cycling,Weight Loss,62,358,7,3,Weights,Medium,Adults,36,Promotes mental clarity,Cycling was very satisfying!,Mixed
Zumba,Cardiovascular Fitness,68,438,6,5,Weights,High,Adults,40,Improves cardiovascular health,Zumba was very satisfying!,Aerobic
Dance,Muscle Gain,28,500,7,6,Boxing Gloves,High,Seniors,45,Improves mood,Dance was very satisfying!,Mixed
Weight Lifting,Overall Fitness,67,441,6,1,Yoga Mat,High,Seniors,12,Improves mood,Weight Lifting was very satisfying!,Mixed
HIIT,Cardiovascular Fitness,47,573,7,4,Bicycle,Medium,Seniors,32,Enhances endurance,HIIT was very satisfying!,Strength
Zumba,Muscle Gain,36,474,3,6,Yoga Mat,High,Teens,41,Increases balance,I did not enjoy Zumba.,Strength
Swimming,Muscle Gain,98,521,9,5,Swimming Costume,Low,Teens,45,Boosts flexibility,Swimming was very satisfying!,Aerobic
Running,Cardiovascular Fitness,88,591,8,1,None,Low,Seniors,2,Enhances endurance,Running was very satisfying!,Strength
Meditation,Muscle Gain,38,483,10,4,None,Low,Adults,5,Promotes mental clarity,Meditation was very satisfying!,Balance
Weight Lifting,Overall Fitness,72,178,10,6,"Mat, Reformer",Low,Teens,13,Increases balance,Weight Lifting was very satisfying!,Aerobic
HIIT,Overall Fitness,118,420,5,4,None,Low,Seniors,14,Promotes mental clarity,I did not enjoy HIIT.,Flexibility
Rock Climbing,Overall Fitness,21,312,1,3,Weights,Low,Teens,50,Aids in weight loss,I did not enjoy Rock Climbing.,Flexibility
Weight Lifting,Mental Clarity,97,435,3,1,Climbing Gear,Low,Adults,10,Promotes mental clarity,I did not enjoy Weight Lifting.,Aerobic
Running,Flexibility,99,597,4,6,Bicycle,Medium,Teens,29,Aids in weight loss,I did not enjoy Running.,Flexibility
Cycling,Mental Clarity,108,377,9,5,Bicycle,High,Teens,4,Improves mood,Cycling was very satisfying!,Aerobic
Rock Climbing,Flexibility,43,390,1,3,Climbing Gear,Low,Seniors,6,Enhances endurance,I did not enjoy Rock Climbing.,Aerobic
Kickboxing,Overall Fitness,55,187,10,1,None,Low,Seniors,38,Improves mood,Kickboxing was very satisfying!,Strength
Running,Flexibility,25,357,4,2,Weights,Low,Adults,21,Improves cardiovascular health,I did not enjoy Running.,Strength
Zumba,Mental Clarity,113,156,9,7,Climbing Gear,Low,Teens,31,Improves mood,Zumba was very satisfying!,Balance
Pilates,Flexibility,39,218,7,2,Swimming Costume,Medium,Teens,37,Enhances muscle strength,Pilates was very satisfying!,Balance
Swimming,Overall Fitness,83,203,10,7,Climbing Gear,High,Seniors,43,Improves cardiovascular health,Swimming was very satisfying!,Strength
Kickboxing,Muscle Gain,76,494,9,1,Swimming Costume,Low,Adults,50,Increases balance,Kickboxing was very satisfying!,Flexibility
HIIT,Flexibility,48,173,2,3,Climbing Gear,Medium,Adults,6,Aids in weight loss,I did not enjoy HIIT.,Balance
Running,Cardiovascular Fitness,96,588,10,3,Yoga Mat,Low,Teens,33,Improves mood,Running was very satisfying!,Balance
Meditation,Flexibility,92,578,5,4,None,High,Seniors,11,Improves mood,I did not enjoy Meditation.,Strength
Weight Lifting,Overall Fitness,103,244,5,4,Climbing Gear,Low,Adults,44,Enhances endurance,I did not enjoy Weight Lifting.,Aerobic
Swimming,Overall Fitness,94,493,3,7,Yoga Mat,Low,Seniors,49,Promotes mental clarity,I did not enjoy Swimming.,Aerobic
Swimming,Muscle Gain,98,543,4,5,Climbing Gear,Low,Seniors,30,Improves cardiovascular health,I did not enjoy Swimming.,Balance
Pilates,Muscle Gain,49,552,9,6,Climbing Gear,Medium,Adults,10,Enhances muscle strength,Pilates was very satisfying!,Mixed
Running,Weight Loss,43,266,6,2,Swimming Costume,Medium,Adults,12,Improves cardiovascular health,Running was very satisfying!,Mixed
Kickboxing,Mental Clarity,69,438,6,5,Yoga Mat,Low,Seniors,38,Improves cardiovascular health,Kickboxing was very satisfying!,Strength
Yoga,Overall Fitness,24,291,5,2,Bicycle,High,Teens,8,Aids in weight loss,I did not enjoy Yoga.,Strength
Weight Lifting,Muscle Gain,104,300,7,1,None,Low,Teens,6,Aids in weight loss,Weight Lifting was very satisfying!,Strength
Yoga,Cardiovascular Fitness,56,357,4,6,Boxing Gloves,Medium,Teens,5,Improves cardiovascular health,I did not enjoy Yoga.,Strength
Cycling,Mental Clarity,97,340,4,5,Climbing Gear,Medium,Adults,5,Enhances muscle strength,I did not enjoy Cycling.,Balance
Dance,Mental Clarity,42,465,10,1,Yoga Mat,Low,Seniors,34,Boosts flexibility,Dance was very satisfying!,Flexibility
HIIT,Cardiovascular Fitness,48,229,1,7,Climbing Gear,Low,Seniors,19,Improves cardiovascular health,I did not enjoy HIIT.,Balance
Cycling,Cardiovascular Fitness,103,233,4,3,None,Low,Seniors,27,Promotes mental clarity,I did not enjoy Cycling.,Aerobic
Rock Climbing,Weight Loss,34,224,4,7,"Mat, Reformer",High,Seniors,20,Improves mood,I did not enjoy Rock Climbing.,Flexibility
Rock Climbing,Cardiovascular Fitness,36,368,1,6,Weights,High,Teens,20,Increases balance,I did not enjoy Rock Climbing.,Balance
Walking,Cardiovascular Fitness,34,197,6,7,None,Low,Seniors,38,Enhances muscle strength,Walking was very satisfying!,Aerobic
Walking,Weight Loss,106,362,10,6,None,Low,Adults,23,Aids in weight loss,Walking was very satisfying!,Aerobic
Zumba,Flexibility,44,430,10,6,None,High,Seniors,40,Improves cardiovascular health,Zumba was very satisfying!,Flexibility
